date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol
2023-04-21,165.05,166.4521,164.49,165.02,165.02,58337341,0.0000,1.0,AAPL
2023-04-20,166.09,167.87,165.56,166.65,166.65,52456377,0.0000,1.0,AAPL
2023-04-19,165.8,168.16,165.54,167.63,167.63,47720166,0.0000,1.0,AAPL
2023-04-18,166.1,167.41,165.65,166.47,166.47,49923008,0.0000,1.0,AAPL
2023-04-17,165.09,165.39,164.03,165.23,165.23,40713618,0.0000,1.0,AAPL
2023-04-14,164.59,166.32,163.82,165.21,165.21,49386480,0.0000,1.0,AAPL
2023-04-13,161.63,165.8,161.42,165.56,165.56,68445649,0.0000,1.0,AAPL
2023-04-12,161.22,162.06,159.78,160.1,160.1,50133062,0.0000,1.0,AAPL
2023-04-11,162.35,162.36,160.51,160.8,160.8,47644217,0.0000,1.0,AAPL
2023-04-10,161.42,162.03,160.08,162.03,162.03,47716882,0.0000,1.0,AAPL
2023-04-06,162.43,164.9584,162.0,164.66,164.66,45390123,0.0000,1.0,AAPL
2023-04-05,164.74,165.05,161.8,163.76,163.76,51511744,0.0000,1.0,AAPL
2023-04-04,166.595,166.84,165.11,165.63,165.63,46278295,0.0000,1.0,AAPL
2023-04-03,164.27,166.29,164.22,166.17,166.17,56976187,0.0000,1.0,AAPL
2023-03-31,162.44,165.0,161.91,164.9,164.9,68749792,0.0000,1.0,AAPL
2023-03-30,161.53,162.47,161.271,162.36,162.36,49501689,0.0000,1.0,AAPL
2023-03-29,159.37,161.05,159.35,160.77,160.77,51305691,0.0000,1.0,AAPL
2023-03-28,157.97,158.49,155.98,157.65,157.65,45992152,0.0000,1.0,AAPL
2023-03-27,159.94,160.77,157.87,158.28,158.28,52390266,0.0000,1.0,AAPL
2023-03-24,158.86,160.34,157.85,160.25,160.25,59256343,0.0000,1.0,AAPL
2023-04-21,285.01,286.27,283.0608,285.76,285.76,21676387,0.0000,1.0,MSFT
2023-04-20,285.25,289.03,285.08,286.11,286.11,23244363,0.0000,1.0,MSFT
2023-04-19,285.99,289.05,284.54,288.45,288.45,17150271,0.0000,1.0,MSFT
2023-04-18,291.57,291.755,287.01,288.37,288.37,20161845,0.0000,1.0,MSFT
2023-04-17,289.93,291.6,286.16,288.8,288.8,23791151,0.0000,1.0,MSFT
2023-04-14,287.0,288.48,283.69,286.14,286.14,20987917,0.0000,1.0,MSFT
2023-04-13,283.59,289.9,283.17,289.84,289.84,24222678,0.0000,1.0,MSFT
2023-04-12,284.79,287.01,281.96,283.49,283.49,27403432,0.0000,1.0,MSFT
2023-04-11,285.75,285.98,281.64,282.83,282.83,27276589,0.0000,1.0,MSFT
2023-04-10,289.208,289.6,284.71,289.39,289.39,23102994,0.0000,1.0,MSFT
2023-04-06,283.21,292.08,282.03,291.6,291.6,29770334,0.0000,1.0,MSFT
2023-04-05,285.85,287.15,282.92,284.34,284.34,22064770,0.0000,1.0,MSFT
2023-04-04,287.23,290.4499,285.67,287.18,287.18,25824299,0.0000,1.0,MSFT
2023-04-03,286.52,288.27,283.95,287.23,287.23,24883342,0.0000,1.0,MSFT
2023-03-31,283.73,289.27,283.0,288.3,288.3,32765976,0.0000,1.0,MSFT
2023-03-30,284.23,284.46,281.48,284.05,284.05,25053410,0.0000,1.0,MSFT
2023-03-29,278.96,281.1398,278.41,280.51,280.51,25087032,0.0000,1.0,MSFT
2023-03-28,275.79,276.14,272.0451,275.23,275.23,21878647,0.0000,1.0,MSFT
2023-03-27,280.5,281.4589,275.52,276.38,276.38,26840212,0.0000,1.0,MSFT
2023-03-24,277.24,280.63,275.28,280.57,280.57,28199962,0.0000,1.0,MSFT
2023-04-21,106.1,108.15,105.08,106.96,106.96,86774185,0.0000,1.0,AMZN
2023-04-20,103.53,105.25,103.21,103.81,103.81,57696866,0.0000,1.0,AMZN
2023-04-19,101.58,105.12,101.39,104.3,104.3,58398890,0.0000,1.0,AMZN
2023-04-18,103.95,104.2,101.52,102.3,102.3,39790518,0.0000,1.0,AMZN
2023-04-17,103.16,103.73,101.59,102.74,102.74,39791535,0.0000,1.0,AMZN
2023-04-14,102.07,103.2013,101.11,102.51,102.51,51450522,0.0000,1.0,AMZN
2023-04-13,98.95,102.57,98.71,102.4,102.4,67925138,0.0000,1.0,AMZN
